SNH48-赵韩倩	67275445	399654
CKG48-左欣	67236674	614742
BEJ48-张丹丹	67275549	711745
SNH48-周睿林	67380657	868351
SNH48-王柏硕	67390892	47
SHY48-菅瑞静	67265507	530378
SNH48-李清扬	67313730	28
SNH48-刘瀛	67236589	399667
李泓瑶	67313801	407108
吕梦莹	67217589	286982
SNH48-张文静	67313837	63581
BEJ48-郑心雨	67207877	528340
SNH48-许嘉怡	67362345	592348
SNH48-姜涵	67236667	594002
GNZ48-汪慕远	67342126	607524
